Prenom;Nom;Initiales;Login;Description;Service;Group;DateIN;DateOUT;PHONE
Zeinalda;Tucker;ZT;ztucker;AISMEDILAB (Domain User);Laboratoire;Laboratoire;03/07/2021;03/07/2024;03 09 02 60 20
Camille;Cameron;CC;ccameron;AISMEDILAB (Domain User);Comptabilité;Comptabilité;13/03/2021;03/07/2024;06 17 07 66 84
Chaney;Molina;CM;cmolina;AISMEDILAB (Domain User);Informatique;Informatique;23/02/2020;03/07/2024;06 78 60 70 46
Hamish;Singleton;AS;asingleton;AISMEDILAB (Domain User);Juridique;Juridique;23/04/2020;01/06/2024;04 80 52 33 14
Camden;Norman;CN;cnorman;AISMEDILAB (Domain User);RH;RH;08/10/2021;02/02/2024;06 61 92 74 53
Deena;Ratliff;DR;dratliff;AISMEDILAB (Domain User);Direction;Direction;25/05/2020;02/02/2024;06 04 21 68 06
Zorita;Morgan;ZM;zmorgan;AISMEDILAB (Domain User);R&D;R&D;25/02/2020;01/06/2024;02 08 61 80 83
Yardley;Gill;YG;ygill;AISMEDILAB (Domain User);R&D;R&D;26/02/2020;01/06/2024;04 37 90 07 82
Elijah;Joyce;EJ;ejoyce;AISMEDILAB (Domain User);Informatique;Informatique;16/02/2020;01/06/2024;04 26 50 66 80
Shannon;Sharp;SS;ssharp;AISMEDILAB (Domain User);Informatique;Informatique;20/04/2021;02/02/2024;02 26 04 85 33
